
TONGS,20.89,4.4465,151
QUADS,25.75,4.6990,245
COLEY,20.90,4.5089,190
LEAFY,22.77,4.5466,201
HAITH,27.53,4.6635,225
FLOGS,26.32,4.5362,164
HAMZA,51.24,4.8047,249
DEATH,20.29,4.4803,167
SPOOT,27.67,4.5405,186
WHOWS,36.29,4.6955,215
MYOID,29.34,4.5448,165
NODAL,21.52,4.4612,169
DIOLS,18.48,4.4786,179
SAIDS,20.98,4.6379,214
BIALI,29.79,4.6527,218
BUFFE,43.03,4.7687,229
BLURT,25.58,4.4755,171
VIEWS,25.14,4.6215,213
GALES,16.35,4.4872,194
AIRER,19.18,4.6704,246
JESTS,28.29,4.7709,274
GAWCY,35.59,4.6245,178
MALUS,20.69,4.5414,178
SNOUT,20.68,4.4573,188
RYPER,30.48,4.7025,239
THROW,29.05,4.5353,186
LINGO,27.83,4.5310,188
ENVOI,30.59,4.6180,218
GAUDS,23.34,4.5344,181
COURS,20.38,4.4881,194
LIMAX,30.95,4.6392,210
MOOLA,29.82,4.6327,205
GINKS,28.38,4.5634,168
BARRA,39.70,4.8177,277
ORVAL,23.38,4.5760,221
ELOPS,19.09,4.4604,158
TROPE,19.28,4.4205,164
THORN,23.37,4.4392,181
SNEAP,18.05,4.4725,178
SPELL,25.73,4.5686,191
FLEER,29.05,4.6596,230
DAFFS,30.47,4.6942,204
LEVIS,20.16,4.5392,205
LYTED,23.33,4.5067,182
ICING,46.17,4.6786,199
CHAYA,38.64,4.7254,248
FAINE,20.12,4.5167,188
HWYLS,29.27,4.5513,195
OLEIC,20.04,4.4868,186
WRANG,26.95,4.5621,171
STUNS,28.09,4.6488,225
ROUEN,18.50,4.5388,222
EXIST,23.03,4.6115,226
SUMAC,22.63,4.5206,178
KITED,23.27,4.5474,180
FRANK,28.05,4.5652,190
GOBAN,27.73,4.5284,172
ARMET,17.37,4.4647,198
COGIE,21.69,4.5041,173
PAREV,21.89,4.5509,185
KOURA,22.61,4.6340,231
PILAU,23.11,4.5271,173
KOPHS,28.55,4.5370,156
USURE,22.72,4.7393,261
MATAI,27.88,4.6436,214
REDED,35.85,4.8090,270
CELTS,16.91,4.4214,170
PUPIL,37.28,4.6371,216
CAKES,18.00,4.5396,194
RUBEL,22.26,4.5258,184
KULAN,25.97,4.6033,205
DOOZY,53.80,4.8302,255
HAOLE,16.97,4.4755,189
ARVOS,18.79,4.5890,207
YELMS,19.99,4.5314,182
MUGGY,58.57,4.7592,218
ALGAE,24.96,4.6258,230
VINAS,21.21,4.5938,205
TONDI,24.16,4.4933,163
DOPAS,19.65,4.4366,140
PAUSE,17.46,4.4660,177
SOLDO,25.55,4.6297,224
BEGAT,22.48,4.5084,161
FRATE,19.19,4.4716,194
ROUTS,17.99,4.5024,197
BONZE,29.07,4.6492,203
COOFS,32.87,4.6631,196
KESAR,17.07,4.5699,211
SPULE,19.65,4.4409,172
RASSE,17.08,4.6353,230
HYING,35.16,4.5652,183
SCUFT,29.10,4.4786,175
VINOS,23.10,4.5803,203
HIEMS,20.59,4.4859,178
THILL,32.78,4.5964,209
SWADS,29.02,4.6834,226
HYLEG,26.94,4.5587,196
BOLAR,20.39,4.5002,183
EARTH,18.13,4.4994,199
AHEAP,28.37,4.6323,211
SEBUM,23.34,4.5474,180
SPAGS,28.51,4.6249,213
TABOO,28.27,4.6579,217
NONCE,26.16,4.6362,226
SANSA,28.18,4.7670,269
AUGUR,31.51,4.7380,265
DAGOS,19.84,4.4768,170
FIELD,26.48,4.4981,168
STURT,25.40,4.6124,240
ALTAR,22.42,4.6319,232
FLOUT,28.42,4.5184,184
DOWRY,31.14,4.5691,196
MOTUS,22.07,4.5175,181
BARDE,19.73,4.4959,173
DONAH,23.86,4.4881,174
SEWIN,19.84,4.5171,190
GADJO,33.32,4.6644,213
ENORM,21.09,4.5032,190
WHAMS,26.58,4.5574,181
URBAN,23.69,4.5725,207
CABOC,32.63,4.6566,197
CHOGS,26.58,4.5045,153
CREPS,19.00,4.4097,147
SARGE,15.56,4.4729,187
VISNE,21.54,4.5526,199
HALED,19.45,4.4552,178
SURFY,26.03,4.5842,198
GHOUL,30.72,4.5461,191
PALES,16.01,4.4379,174
FLOCS,24.27,4.4807,153
ALGAS,24.98,4.6496,222
FURTH,33.95,4.5314,197
PULED,24.82,4.4699,144
MANGA,37.42,4.6942,201
ECHES,25.80,4.6579,212
REAME,21.54,4.6423,217
OCTAS,17.86,4.4582,164
COOPS,30.09,4.5686,172
ROLES,14.48,4.5054,203
BOKEH,27.76,4.6068,183
BEECH,37.98,4.6527,201
SURGE,18.88,4.5388,204
MOCHS,26.51,4.4916,154
SEXTO,20.36,4.5981,237
HEADY,22.55,4.5531,190
OBEYS,20.74,4.6068,208
GUANS,21.30,4.5608,206
COPAY,25.47,4.5206,175
CRINE,18.92,4.4578,177
TRASH,18.23,4.4448,173
COCOA,40.09,4.8055,265
LUDES,18.74,4.4560,193
SARDS,20.23,4.6483,224
POUND,29.74,4.4721,153
LEAZE,26.96,4.7414,267
DOUAR,20.61,4.5188,202
MATEY,19.68,4.5145,202
GLUTS,23.35,4.4630,177
LIKEN,22.15,4.5314,193
COHAB,28.45,4.5214,159
BLASE,17.01,4.4565,166
SOLDE,16.57,4.4573,176
DOEKS,20.29,4.5245,167
ORGAN,21.93,4.5067,179
HEXYL,32.24,4.6990,267
TOQUE,25.68,4.6895,254
SUDOR,19.75,4.5015,191
REIFY,23.58,4.5964,209
MANGY,30.40,4.5673,184
JEERS,25.20,4.7960,292
DOBES,19.17,4.4799,173
ZOOID,43.43,4.7635,234
AWOLS,19.41,4.5240,193
DORMY,28.12,4.5483,170
ERBIA,19.51,4.5453,191
PENED,30.98,4.5920,167
TAKER,17.84,4.5630,212
PALEA,23.11,4.5790,200
ANION,26.01,4.6431,242
KYNDE,28.48,4.6159,177
BINDS,23.90,4.4868,153
IXTLE,24.20,4.6436,230
GUSTY,28.34,4.5621,204
SPEAT,17.29,4.4335,165
DRENT,20.00,4.4327,165
FLAMM,40.52,4.6942,208
OXIMS,27.10,4.6548,209
